시,"사용자 성명","영향받는 사용자","이벤트 문맥",구성요소,"이벤트 이름",설명,오리진,"ip 주소"
"30/10/23, 15:30:04","admin lms",-,"대화방: 자유채팅방",시스템,"강좌 모듈이 생성되었습니다.","The user with id '2' created the 'chat' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:29:38","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:29:25","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:29:24","admin lms",-,"시작 페이지",시스템,"강좌 봄","The user with id '2' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:29:17","kim kim",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '5' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:29:14","kim kim",-,"피드백(설문): 강의 리뷰",피드백(설문),"감좌 모듈 봄","The user with id '5' viewed the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:29:12","kim kim",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '5' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:29:10","kim kim","kim kim","피드백(설문): 강의 리뷰",피드백(설문),"응답이 제출되었습니다.","The user with id '5' submitted response for 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:28:55","kim kim",-,"피드백(설문): 강의 리뷰",피드백(설문),"감좌 모듈 봄","The user with id '5' viewed the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:28:54","kim kim",-,"강좌: 파이썬 기초","User tours","Tour ended","The user with id '5' has ended the tour with id '1' at step index '0' (id '1') on the page with URL 'http://localhost/course/view.php?id=2#section-2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:28:52","kim kim",-,"강좌: 파이썬 기초","User tours","Tour started","The user with id '5' has started the tour with id '1' on the page with URL 'http://localhost/course/view.php?id=2#section-2'.",web,0:0:0:0:0:0:0:1
